og2a,NFmOlZ,2,施波福,2018010028702,233687,1
4DE3,rIXa79,1,平贞,2018010302333,421823,0
URns,nhC1lg,2,蒋珍娅,2018010338027,780380,0
LKYH,Rfk6wv,1,宋晶,2018010400761,621407,0
Axxc,BoeXRJ,1,谈杰学,2018010518604,558586,1
iu7c,5dhBYY,2,禹世,2018010543710,685237,1
hrfg,mvRVhi,2,凤瑶纯,2018010595009,753250,0
5fxk,Hi9x93,1,周莺丹,2018010610512,789805,0
ucYZ,lH58fa,2,舒龙龙,2018011085061,101950,1
npFR,mli17Z,1,舒楠辉,2018011159539,669295,1
VY6g,DDFnwP,2,孙成永,2018020155843,890858,1
r7Q2,jmZ2PD,2,华芬宜,2018020200152,584901,0
icOr,BlyTdq,2,米露,2018020247819,682778,0
KmFo,FScBd1,2,施凝,2018020388571,292185,0
kwZv,w6sZ0j,1,熊士,2018020432320,501223,1
sgmd,ToPLTc,1,齐学,2018020509344,371093,1
712d,66Y49w,1,元俊顺,2018020529140,586191,1
4ke2,Dt5Zfz,1,云武彬,2018020748744,129987,1
6CMr,iMwvJH,2,凤杰,2018020964234,026742,1
GnNb,xrY3nn,2,张珠,2018021062265,301222,0
n7sX,prwvjM,1,李寒,2018021097825,397678,0
5JA2,sTCQdr,2,水成顺,2018021208306,211483,1
L0wH,UPWOgg,2,倪钧,2018021257568,341975,1
d7Wj,YRRoyU,1,许子士,2018030212173,548121,1
YPbU,flyfSM,1,魏元,2018030278457,364384,1
72Al,oYbtDI,2,朱平,2018030287310,254973,1
gbA8,UoScef,2,孟发富,2018030379571,380695,1
slWM,mHs3OG,2,陈霭环,2018030641930,225719,0
4AYq,yUZK52,1,柏元福,2018030961133,317711,1
9RP4,Yvm4HC,1,臧楠,2018031044932,091049,1
5tTP,a60AbN,1,穆龙军,2018031080632,290506,1
yEMp,21VS1d,1,项珍嘉,2018031133674,381636,0
2vcT,0Z9Dv6,2,毛福,2018031179436,001394,1
0LeJ,xF4HlC,1,常玲,2018031183745,673837,0
omHE,fHnoYV,2,雷山,2018040021312,210613,1
bbSI,U778sR,1,柳琰,2018040133806,909538,0
gqsz,gH0tA7,2,成柔,2018040399644,206996,0
xv9W,djsusV,1,苏贞惠,2018040451947,091019,0
PLq5,tVdfG0,2,董良,2018041034665,489146,1
Ot1V,7ePPnb,1,毕莎聪,2018041093665,463736,0
kkxe,URySA0,1,韩炎,2018041094738,644947,1
zyy3,SyWmeL,1,郎楠,2018050088737,125787,1
W95l,8rKXnj,1,郑天贵,2018050096573,059465,1
vRVy,49iwnJ,1,汤妍,2018050319846,500598,0
WIAc,UBXWGW,1,苗天树,2018050351619,987716,1
yd2G,AY85H7,1,柏岩力,2018050450015,529500,1
X66w,Xg3qEE,2,卫莺,2018050481419,738214,0
b1M9,RTNv0b,1,秦子,2018050593639,494436,1
kLMv,HnS8Bx,2,凤黛竹,2018050971374,215713,0
FlFj,uXVF4b,1,时影,2018050997911,916479,0
bMgx,ICrIBK,2,尤芬,2018051009270,036692,0
PgSp,9yogOt,2,邬园素,2018051035839,028558,0
TRFg,PLQ1Fv,1,祝盛士,2018051042538,687325,1
LMU2,h8rZLc,1,堪菁淑,2018051061214,311712,0
kMHp,q3xGI7,2,熊霞月,2018060066804,273568,0
nb70,3S3Ns7,2,苏舒芝,2018060080852,015508,0
LVKI,05ihqK,1,廉琦纨,2018060091870,430418,0
jkI4,wENlv9,2,邵燕,2018060358311,178183,0
hUdm,Y5ezmt,1,傅福,2018060396721,964967,1
XwEt,xml00c,2,梁鼎建,2018060637207,483872,1
NgGj,QYavAN,1,秦信,2018060643619,886336,1
boke,UEAzJq,2,范兴,2018060673138,744431,1
rsFG,B7sgoQ,1,孔玲,2018060703917,278639,0
