201903051048,root,1000,69.8,7
QQUQX,YqN7i,SHwKD,rs8rX,aNOpp,RmNbI,4kH0J
70.2,70.0,70.5,69.9,69.0,69.3,70.1
1,Ê··å,245742,2019110874225,84.8,91.0,90.8,93.7,86.5,71.0,88.7,72.1
2,ÍõéÅÒå,494275,2018030977558,84.3,83.2,93.3,85.1,73.6,71.4,91.5,91.7
3,ÆëÌ©Ë³,382637,2022090333760,84.0,84.7,66.2,88.0,93.6,73.2,92.6,89.6
4,Ê©Ê÷,975783,2024070548354,83.2,53.9,83.9,85.9,79.7,94.1,91.6,93.6
5,Ã×Èð,185549,2020050294954,83.0,94.4,81.8,79.6,68.0,89.7,88.7,78.9
6,Â³Ó¢,740522,2021010212212,82.7,91.7,84.4,80.2,88.6,60.4,82.7,90.8
7,ÍôÌ©³½,080710,2023020421022,82.6,93.3,86.9,84.8,67.8,74.1,81.4,90.2
8,ÂÀÒÇ,281539,2021110333974,82.5,79.6,72.2,84.0,70.2,87.7,91.5,92.2
9,ºÂ·å,010196,2018110749626,82.1,84.5,53.5,79.7,93.7,89.0,83.9,90.5
10,ÁºæÃ,031834,2020100913469,82.0,86.9,77.6,64.2,89.8,87.7,88.4,79.2
11,ÆëÐÂÇå,006037,2024030883732,81.8,93.5,91.9,68.3,62.7,79.7,84.4,92.1
12,Ó÷Þ±,831702,2024111030201,81.5,69.8,84.2,73.7,93.0,94.0,67.6,87.9
13,Äßæý,435398,2024100799850,81.4,94.9,92.2,91.1,85.4,86.9,57.4,62.2
14,ÀÖÖÂ,931980,2024110118047,81.4,65.2,67.6,89.6,94.8,88.2,90.8,73.8
15,Ð»³É,029126,2019020022632,81.2,72.7,87.6,71.9,91.8,72.1,77.4,95.0
16,Ô¬Ñ×·É,603714,2020070161416,81.2,73.4,81.5,88.5,75.9,76.5,86.2,86.1
17,ÆëÜç,247814,2018041091429,80.8,93.9,78.3,53.2,78.5,90.5,83.9,87.6
18,²Ü³É,665838,2023010763870,80.8,87.7,78.1,66.4,82.4,75.6,91.7,83.5
19,±«¹ó¸»,897197,2023100819716,80.8,88.9,84.1,83.1,92.5,74.7,88.0,54.1
20,½ð»ÝÃ·,404731,2022090113114,80.7,93.9,92.4,81.0,70.1,85.8,80.7,61.1
21,³ÂÃ÷,319234,2019060033410,80.4,86.7,93.6,81.1,84.8,92.3,49.8,74.8
22,ÂÀ³ÉÁ¦,566471,2024101027166,80.4,75.5,71.0,94.3,92.1,93.6,72.8,63.8
23,·ïÑ§,891346,2019010134603,80.3,75.3,91.4,90.2,77.2,82.8,88.9,56.1
24,ÀîÔÆÒÁ,455355,2021070935503,80.3,91.2,92.9,74.9,71.0,64.2,76.4,91.2
25,ÇØÄÈÓ°,217922,2019080652228,80.2,83.0,52.0,75.7,91.6,95.0,83.4,80.8
26,ÑÏö°»ª,614186,2020110848637,80.2,84.8,70.5,94.3,72.4,57.0,92.9,89.5
27,»¨·ÉÀû,875303,2023020250301,80.2,69.7,88.1,89.6,76.2,85.4,69.8,82.6
28,Ñ¦³É¾ü,568480,2019071168012,80.0,71.6,90.4,74.6,93.0,85.9,92.9,51.9
29,ÑÏÌì,069601,2020111080157,80.0,65.8,92.1,72.6,68.2,84.7,92.6,83.7
30,ÊæÐÇ,107797,2021010899748,79.7,69.5,93.4,79.5,93.2,56.5,75.9,89.9
31,ÇØ¾ü¹ã,421465,2020060206569,79.6,75.8,61.9,73.2,84.9,93.0,92.3,76.0
32,½¯Ê÷³É,076602,2024030920226,79.6,92.3,71.6,61.4,78.0,92.1,86.4,75.1
33,½ðéªÈÊ,727986,2024111158625,79.6,93.7,76.5,89.5,94.8,69.5,50.8,82.3
34,·¶Öñ,546028,2018071002846,79.5,83.4,72.5,90.3,79.0,90.3,80.5,60.5
35,³Â·Æ,209662,2021020726259,79.5,64.3,86.1,91.0,93.9,62.0,72.7,86.2
36,»Æ½¡,243732,2023071123202,79.5,79.9,91.7,60.9,75.8,80.0,87.3,80.8
37,²ýÓ¢ÃÎ,302181,2019060218167,79.4,89.9,94.6,94.5,64.7,54.2,63.6,94.0
38,ÎºÈï¾ý,344903,2021010750317,79.4,84.6,90.1,86.5,91.4,59.2,60.0,83.9
39,¸ðè´´º,016662,2019101026247,79.2,86.2,85.1,70.9,88.0,64.6,93.0,66.5
40,ÄßÝº,731177,2022010467729,79.2,90.8,87.9,69.5,59.7,71.6,82.2,92.9
41,Ñî²Å,991203,2018050510343,79.1,87.5,75.5,82.1,70.9,84.3,66.9,86.5
42,ÒüéÅ¼Ò,147368,2019090136837,79.1,90.3,75.9,88.8,76.1,86.3,55.1,81.3
43,ÊæÒå¾ü,355362,2023071226217,79.1,86.7,76.1,68.5,85.6,84.5,87.7,64.6
44,ÒüÜ¿,909029,2022110812929,79.0,80.7,79.3,64.8,73.0,90.4,70.7,94.2
45,ÅÓÓ½,189192,2023071099226,79.0,94.2,67.0,51.0,93.4,81.3,76.5,89.3
46,Ñ¦·ï,706654,2024060255428,79.0,93.6,92.4,68.8,78.7,78.7,49.8,90.8
47,ÉòÊ÷,079092,2021050059256,78.8,90.5,82.4,61.0,63.9,77.8,82.6,93.4
48,ÓÚæ¼´Ï,928200,2022110400049,78.8,82.9,80.8,84.8,91.1,64.3,87.0,60.5
49,ÐÜÓÀ½Ü,954897,2023090069754,78.8,89.4,92.5,72.8,69.4,86.9,62.5,78.0
50,·ïÜø,449109,2018100430901,78.7,86.8,66.8,82.9,80.8,77.3,63.0,93.5
51,¼ÆÁú±ò,644163,2019020786323,78.7,88.8,82.7,63.4,94.4,62.0,73.7,85.7
52,Î¤ÄþÖÐ,982917,2020041181775,78.6,83.2,92.7,71.9,93.8,88.0,66.2,54.6
53,ñ¼ÃÀ,786540,2022010374014,78.6,87.3,91.4,70.3,69.3,91.6,90.6,49.4
54,¿×·çË³,339842,2022090594221,78.5,93.3,84.9,83.7,62.3,86.1,88.9,50.6
55,³Âè¡,434845,2022110654570,78.5,82.7,90.7,59.1,70.2,88.9,66.1,92.0
56,¹Ë¶¦,197379,2022121227929,78.5,84.0,86.6,65.8,74.7,80.9,78.6,79.2
57,»ªÑþÓ°,435454,2020021155430,78.3,94.4,90.2,50.1,63.9,86.6,87.5,75.1
58,ñ¼²ßÌÚ,273221,2023080682167,78.3,83.7,54.1,80.7,74.5,91.5,76.2,87.1
59,Ò¦ÎÄ,575996,2019120789657,78.2,84.0,84.6,85.1,68.4,63.8,77.8,83.9
60,Á®ºë,674674,2020060267466,78.2,64.8,92.9,50.5,72.5,93.1,81.3,92.4
