2018050171848,root,1000,69.9,7
PaU6Q,87YTO,10yZW,N8W3B,CeFAH,DNJYE,2ysUP
70.4,70.2,68.9,69.8,70.5,70.4,69.2
1,ñ¼Ñ©¾ê,488682,2021120958229,85.9,91.2,81.1,80.9,92.9,91.2,82.3,81.9
2,ÖìÞ±Ýº,869536,2024030463646,85.3,60.3,90.3,91.4,83.0,85.4,93.3,93.5
3,°²Ó¢Ô·,170350,2022090835065,84.4,79.3,94.8,68.8,84.7,91.4,93.4,78.4
4,¼ÍÔÂ,212275,2024070347514,84.4,72.2,89.4,89.0,74.9,93.6,94.6,77.2
5,º«Ê¿,583960,2019091246032,83.6,94.0,89.9,67.3,92.7,93.7,54.2,93.4
6,»ª±ò,063902,2023050520232,83.6,84.4,79.5,91.9,94.0,66.8,89.9,78.9
7,á¯Ë³¸£,123150,2022040665034,83.5,91.6,85.2,78.0,84.0,81.1,90.7,73.9
8,Ô¬Æ½,938633,2023040863341,83.0,85.9,85.1,69.7,87.9,83.9,81.4,86.8
9,±´Â¶Ó¢,136664,2019020396421,82.4,80.2,94.0,85.7,75.5,84.3,78.6,78.7
10,±åÇÉÀó,194477,2020020077773,82.4,78.5,72.0,86.6,92.3,85.6,78.8,82.9
11,ÎÀÐÀ,953887,2022080448762,82.3,84.4,94.3,84.2,55.6,81.7,92.2,83.9
12,ÒüË³ÈÊ,563618,2021091191855,82.1,91.2,70.7,82.1,77.2,87.2,73.3,93.1
13,ÖÜÑÒ,642977,2022051117753,81.8,90.7,93.8,91.7,70.8,65.2,72.0,88.5
14,¿°´º,186904,2018090410447,81.7,92.8,85.2,51.8,92.6,93.6,68.1,88.0
15,ÂíºÉÔ°,122763,2022030766310,81.4,91.5,92.4,70.6,83.9,90.5,87.2,53.5
16,ÄÂÀò·²,500190,2023040279023,81.4,77.3,76.8,92.8,69.8,93.5,83.5,76.3
17,Ê©Ê÷,975783,2024070548354,81.4,85.5,85.4,75.1,94.6,57.3,78.5,93.3
18,ËïÙ»¼Î,154499,2023030139906,81.1,69.7,63.9,94.6,76.9,85.5,93.7,83.7
