2022010212002,root,1000,70.0,4
6cTjU,v9t1v,cINLC,NEcNW
70.0,69.8,70.0,70.2
1,³ÉÁÕ,366617,2023110431712,88.1,77.7,90.2,90.9,93.6
2,Òó¼Ò¶«,406845,2021091244566,87.2,88.2,89.3,77.8,93.4
3,Æ¤Çí,997261,2023030846151,87.1,88.3,76.2,92.0,91.8
4,Ð»ÁúÃú,776527,2020010232764,86.9,82.2,89.4,92.9,83.2
5,·ë»·,694209,2020081060975,86.8,89.3,91.5,93.3,73.2
6,ÃÏÕä,963384,2020081248454,86.2,95.0,69.0,90.5,90.1
7,°ØÃ¯,667753,2022060485316,86.2,93.0,78.9,85.7,87.2
8,·üÈð²Ê,456700,2023100950020,86.1,71.6,94.9,85.3,92.6
9,±«Óý±ù,223658,2023050335829,85.9,94.1,91.2,83.9,74.4
10,Æ½Ö¦ÔÃ,377444,2021100104439,85.8,92.9,69.7,87.4,93.1
11,±Ï¹ó¹â,552007,2023010190774,85.8,91.9,87.1,69.1,94.9
12,·ïÄþ,565766,2019120846651,85.6,88.3,84.5,91.1,78.4
13,×£¾§ÐÀ,773352,2023110125271,85.5,85.9,81.9,79.8,94.5
14,¿°æµ,606252,2022010225210,85.4,82.5,94.6,69.5,95.0
15,Ë®³½,963424,2022031242445,85.4,94.9,66.5,89.7,90.3
16,Ôª±£¾û,536389,2021020748954,85.2,75.5,83.4,89.1,92.6
17,¹Ë÷ì,401050,2019091055027,85.0,77.9,92.8,90.6,78.7
18,Ç®ÑÇ,703068,2022041216846,85.0,88.7,74.5,89.6,87.4
19,Éò¹ð,428476,2019011067674,84.9,67.9,86.9,92.4,92.2
20,ñ¼°®,595433,2023080933306,84.9,82.5,86.9,84.0,86.3
21,ÖìÑÒ¸»,976830,2018070093068,84.8,88.5,92.7,89.5,68.7
22,ÌÆÖÐ·ç,420637,2021101113711,84.8,86.8,91.1,78.1,83.3
23,ÚùÉúÌì,506819,2018101211957,84.6,58.4,92.6,94.5,92.9
24,ÄßæÃÆ¼,908233,2021040023329,84.6,79.7,79.5,89.8,89.3
25,½ª¸ÕÌ©,336149,2023071084974,84.6,88.7,79.7,76.8,93.1
26,×Þ¿¡,420096,2018090979622,84.5,92.8,88.7,73.7,83.0
27,¶­µÂ,236900,2021030100066,84.4,80.1,87.0,84.5,86.1
28,ê°ÐË¸Õ,377381,2023040278174,84.3,91.5,66.4,90.0,89.5
29,±´¹ó,646004,2024070410474,84.2,87.3,85.8,93.4,70.2
30,ÀÖÎ°,477391,2018070019168,84.1,87.3,89.8,78.1,81.3
31,´÷¸Õ,766496,2019050889671,84.1,93.6,79.0,84.1,79.6
32,´÷Àö»ª,969581,2019071178109,84.1,91.0,75.1,80.9,89.5
33,ÆîÏéÊ¤,867289,2020031178939,84.0,82.6,76.9,93.2,83.3
34,ÖÜÉºö°,189168,2021120346814,84.0,86.6,94.3,90.1,65.0
35,»Æ¶ð·¼,562848,2019050894811,83.9,77.3,82.1,94.8,81.3
36,ÍõÄÈÜ°,717992,2021090429244,83.8,94.9,83.2,81.0,76.0
37,·ï÷ìÖñ,215713,2018050971374,83.6,91.1,64.5,91.8,87.2
38,ÂÀÓ°,006087,2021041108753,83.6,87.0,87.3,77.8,82.2
39,Æ½¸»,427900,2022060180018,83.6,82.9,94.3,80.3,76.9
40,º«ÈÊ,784077,2023050077751,83.6,81.4,67.2,94.5,91.1
41,Êæ»Ô,385461,2024050896107,83.5,71.4,92.9,87.6,81.9
42,ºÍÀû¿¡,787152,2022110795221,83.3,91.9,66.8,90.4,84.3
43,ÌÕÊ÷¸£,711401,2022020760169,83.1,64.7,85.2,91.7,90.9
