202401071147,root,1000,69.8,4
XWpxi,5mnYr,UCXuG,nIMCZ
70.5,70.0,69.2,69.6
1,²ý¹ãÌ©,884093,2020061099353,90.6,94.3,94.7,93.0,80.5
2,ÑîÊç´ä,033158,2024020095864,88.2,94.7,90.9,79.8,87.3
3,¹Ëº½,787708,2021100210805,88.1,87.9,93.9,79.5,91.0
4,½ð×Ó,309955,2018071185512,87.6,94.8,84.5,80.9,90.0
5,»ªÉ½,477184,2020090198434,87.2,81.7,92.3,89.0,85.9
6,ÂíÑÅÓ¢,859221,2022021212107,87.2,92.8,89.5,78.0,88.5
7,Ô¬éª½Ü,820983,2023030348320,87.2,80.7,94.3,84.7,88.9
8,ÄÂ´ï,134996,2019090659631,87.0,93.9,72.8,89.3,91.9
9,ÓÈçþÖé,766860,2021060206059,86.9,88.8,88.7,88.0,82.1
10,·ï½Ü,026742,2018020964234,86.5,89.7,89.6,94.8,71.9
11,×ÞÜ¿,911102,2020011020274,86.5,85.1,93.8,73.3,94.0
12,Î¤»ªÝ¼,504088,2018110188813,85.7,87.0,84.7,80.3,90.8
13,Ã÷èµ½à,029390,2023010569001,85.4,82.7,89.6,81.5,87.8
14,ËÕÕä,830462,2019080156245,85.3,64.3,89.1,93.0,94.9
15,ÎéÃ··²,048222,2021031182263,85.0,81.9,84.3,91.2,82.6
16,Ð»Óýæ«,629837,2024040143767,84.6,92.8,76.9,80.5,88.2
17,¸µ¹ã,761553,2024100835364,84.6,79.4,87.2,78.4,93.2
18,ËïÀû,892195,2019070329539,84.5,88.0,85.8,75.9,88.1
19,Äß¾û,341975,2018021257568,84.3,82.1,86.6,86.0,82.5
20,Ðí¶ðÓý,328140,2021061134040,83.8,94.7,71.1,81.1,88.3
21,³Éð¥´¿,719039,2019010053904,83.7,64.2,94.7,93.4,82.5
22,»ª³½,834217,2023080441711,83.7,84.4,61.4,94.6,94.5
23,ÅÓ½¨,238771,2023091077143,83.7,89.5,94.8,90.6,59.8
24,Ã×Â¶,682778,2018020247819,83.2,85.9,77.8,90.7,78.6
25,ÁºÓ¢ÈÚ,760845,2023100624504,83.2,93.7,84.8,93.1,61.2
26,ÉÛè¡,122478,2021120907823,83.1,77.0,90.7,90.6,74.2
27,³£Ììº£,738924,2019070342417,83.0,92.7,81.1,67.4,90.9
28,ºØÃ¯,882560,2023030416012,83.0,86.0,91.1,71.4,83.6
29,ÖÜ¹ð¼§,070835,2024080343569,83.0,88.7,71.0,91.3,80.8
30,ñ¼²ß,981971,2019061017173,82.9,86.4,78.2,81.7,85.4
31,³ÂÃÀ,299980,2019090328064,82.9,88.7,56.7,93.2,92.8
32,³É¸»,861845,2019101074571,82.9,85.0,58.3,94.8,93.6
33,ÀÉéª,125787,2018050088737,82.7,87.7,77.6,89.5,76.0
34,Ê©ÓýÔÃ,147858,2021060405837,82.7,91.0,72.6,93.2,73.8
35,ÎÀæ¿,113770,2021101137039,82.4,87.8,67.0,80.8,94.1
36,ÖìÑÒ¸»,976830,2018070093068,82.3,82.3,88.1,83.1,75.7
37,¸µâù,101924,2023030682401,82.3,83.3,65.5,88.6,91.8
38,ÓÚ³½º£,787846,2020041244662,82.2,94.8,52.3,91.3,90.3
39,¼Ææ«ÔÂ,793225,2020110932514,82.2,81.5,81.0,76.9,89.3
40,Òó²¨,937547,2018090074762,82.1,76.6,94.6,63.8,93.4
41,Îº½¡,395230,2021010093055,82.0,84.8,88.8,68.3,86.1
42,Ì¸½ÜÑ§,558586,2018010518604,81.9,86.3,78.2,77.8,85.2
43,ÃÏÐÂ,206063,2020110246373,81.9,85.4,68.8,84.2,89.2
44,Æ¤Çí,997261,2023030846151,81.8,91.1,88.5,84.3,63.5
45,×£Ê¢Ê÷,969116,2020060191645,81.7,75.7,84.4,81.0,85.7
46,·ÑÎ°,518615,2022070361509,81.7,80.5,63.0,93.4,89.7
47,·ïÄþ,565766,2019120846651,81.4,73.2,87.6,90.0,74.8
48,ÂÀÈ«´ï,564868,2021071056872,81.4,83.2,88.9,58.7,94.7
49,Ñ¦¶ð»·,063639,2021120943904,81.4,94.2,94.5,52.3,84.5
50,ÌÕÓ¢Ý¼,808258,2021051135841,81.3,94.9,64.6,82.6,83.2
51,ÃÏÕä,963384,2020081248454,81.2,79.7,62.9,91.3,90.8
52,ÌÕÊ÷¸£,711401,2022020760169,81.2,89.9,93.3,56.8,85.0
53,Æ½äÞÓ½,595575,2022070437550,81.2,69.2,89.4,91.0,75.1
54,±´¼§äÞ,374208,2020090730810,81.1,79.8,91.2,90.2,63.1
55,ÀÉð¥,946552,2020080695226,81.0,79.2,82.4,70.2,92.1
56,ÌÆ»¶,913542,2021040964245,81.0,79.5,76.8,92.7,74.8
57,ÓÈÁ«,021068,2024011106864,81.0,83.3,94.3,88.6,58.0
58,ÌÀÑ©,824504,2021121030418,80.9,46.7,89.6,93.1,94.3
59,Êæéª»Ô,669295,2018011159539,80.7,87.2,87.5,88.6,59.4
60,°ØÓðÜ°,346290,2021120219029,80.7,61.8,81.2,94.8,84.9
61,Ê·µ¤,519529,2022051122945,80.7,81.1,73.9,91.5,76.4
62,ÎéÍñ,466307,2023100510753,80.7,90.9,85.9,59.1,87.0
63,Ûº¹â,261530,2023051063058,80.6,87.6,81.9,73.5,79.4
64,Íõ½Ü,309789,2022060988966,80.5,79.9,92.7,72.1,77.4
65,½¯æµ,323438,2019010683810,80.4,71.7,85.0,77.9,86.9
66,¿×ö°Ò¶,477153,2020080875356,80.4,86.4,77.0,83.0,75.3
67,ÒüÁ¼éª,513448,2022071024872,80.4,86.3,78.4,67.7,89.3
68,Ïô°²,240142,2024110534246,80.4,89.2,48.0,91.6,93.0
69,Ð»ÐË,425511,2018111241101,80.3,89.0,66.2,72.8,93.1
70,ÂÀóÞ,084559,2019121085958,80.2,69.9,77.8,84.6,88.5
71,»ªÒÔ·¢,671388,2020080388807,80.2,92.0,81.8,74.1,72.8
72,ÐÜË¼Ö¦,285118,2021051021853,80.2,78.6,91.1,78.6,72.5
73,¿×ºëÀû,325857,2023100295721,80.2,81.7,83.5,68.8,86.9
74,ÇØÐÅ,886336,2018060643619,80.1,58.2,85.7,92.7,83.7
75,µÒÏö,478515,2023030381553,80.1,93.6,89.3,82.5,54.9
76,¼ÆÉ½Ñ×,261199,2024090729935,80.1,77.4,81.0,75.8,86.3
77,Ïî¸£±£,019603,2019040290344,80.0,91.0,92.3,50.3,86.5
78,ÇØÇ¿,947759,2024021125913,80.0,58.2,80.7,88.5,92.6
79,±´ÖÐÖ¾,918685,2019070668504,79.9,76.9,74.5,77.6,90.7
80,¿×Æ¼ËØ,400878,2022041027867,79.9,85.3,82.9,67.2,84.1
81,ÃçÌìÊ÷,987716,2018050351619,79.8,94.5,60.9,94.8,69.1
82,½ðºëÐÇ,180978,2021030057830,79.8,89.9,94.8,70.8,63.8
83,Îâ½¡Ã÷,892281,2020020678101,79.7,80.8,75.8,81.6,80.6
84,×Þ¿µ,579704,2022061170426,79.7,89.5,88.2,51.8,89.2
85,¸ðçþ,753443,2023071174324,79.7,81.9,81.0,64.8,91.0
86,ÌÆÏ¼Óý,840863,2024090486371,79.7,64.0,86.1,86.7,81.9
87,Ò¦ÐÛ,085093,2024100789359,79.6,78.2,94.2,72.9,73.0
88,á¯ÏéÀû,856063,2022010336349,79.5,80.1,68.9,90.5,78.7
89,·ëÝ¼Çï,618455,2019010695519,79.4,76.2,85.0,66.7,89.9
90,ÓáÊ÷¸»,480640,2019010994043,79.4,66.3,75.9,88.3,87.2
91,ÕÅÑ×Á¦,395826,2019020062652,79.4,85.2,64.4,82.9,85.2
92,ÕÂÊ¢Ê÷,582562,2018120606264,79.3,93.9,66.5,94.1,62.6
93,ÏôÔ·Â¶,952279,2019090987958,79.3,64.8,88.5,82.7,81.2
94,¶­æ¿µ¤,245611,2020020481109,79.3,56.9,72.4,94.4,93.4
95,Ç®ÑÇ,703068,2022041216846,79.3,64.4,72.4,90.9,89.5
96,½ª¸ÕÌ©,336149,2023071084974,79.3,63.0,82.5,85.0,86.8
97,ÔÆÄþ,192865,2024080556535,79.2,87.2,93.5,78.9,57.4
98,Ã×ÉºóÞ,308416,2019110071611,79.1,94.6,65.7,71.8,84.1
99,ÓíÎ°·¢,603662,2021090456241,79.1,88.9,77.7,70.4,79.5
100,¹ËÉºÔ·,693629,2021100862921,79.1,62.8,74.5,89.1,90.0
101,ÂíÔ°,323621,2018070352133,79.0,51.9,88.2,89.2,86.7
102,ÓÈ½¨Ã¯,756603,2021081000360,79.0,83.2,76.4,87.8,68.7
103,ºÂ¹ðÖé,341201,2024051120103,79.0,75.9,86.0,77.7,76.3
104,ÏîÐË²¨,666129,2018090382904,78.9,66.6,68.9,94.8,85.4
105,ÌÀ·¢éÅ,735583,2024041168323,78.9,88.8,61.1,76.7,89.1
106,²ÜÎÄ,549571,2019070547106,78.8,91.8,63.9,66.7,93.0
107,×£Çä,011116,2019070881610,78.8,62.8,90.0,94.9,67.4
108,ÖÜÆ½ÐÇ,882628,2024090812852,78.8,91.2,91.5,54.3,78.0
109,·üÔª·É,545445,2019091174510,78.7,57.5,76.8,90.6,89.8
110,Æî·²,291840,2021100584035,78.7,81.2,78.5,67.5,87.6
111,Ó÷Ã÷¹ã,918970,2023010967041,78.7,71.9,90.2,84.6,67.9
112,ÄßÁ¼,592400,2024040360051,78.7,84.0,75.6,80.9,74.4
113,°ØÊ¤,422865,2024081256508,78.7,86.5,91.8,80.7,55.7
114,Ã«¸£,001394,2018031179436,78.6,67.1,92.1,83.2,72.2
115,ÉÛÑà,178183,2018060358311,78.6,82.8,92.2,93.8,45.6
