202012141208,root,1000,70.0,5
lO2aO,K5O3P,5o1mb,WgQ4m,wdOy0
69.6,70.8,69.7,69.3,70.8
1,Îºº£,865032,2023010663229,88.1,94.2,81.9,86.0,94.3,83.9
2,ÀÖÀòÏ£,674983,2018080768305,87.9,94.4,89.2,72.5,89.6,93.7
3,½ªÃ¼Çà,894678,2023071087812,87.5,76.1,88.4,90.9,93.4,88.6
4,ÇüÓÀ,897244,2019041034420,86.7,90.5,85.9,87.2,81.3,88.8
5,°ØÓðÜ°,346290,2021120219029,86.2,87.9,86.7,94.4,88.8,73.3
6,Ãç·å,045507,2024040870729,85.4,88.9,77.5,94.7,83.7,82.3
7,·½Ö¾,148840,2024110974051,85.4,71.9,91.1,90.8,82.3,91.1
8,ñÒóÞ,279052,2024101225248,85.3,94.3,72.5,89.2,78.0,92.5
9,·üÖ¥,163604,2019100820467,85.2,92.4,69.2,76.7,94.1,93.4
10,Ã÷ÍñÙ»,888988,2020050678848,85.1,93.9,93.2,91.9,62.0,84.6
11,·½Üø,044023,2022110412371,85.1,88.5,91.4,85.9,69.7,90.0
12,¼Æ·É,688867,2022090656727,84.8,93.0,93.1,77.4,66.7,93.8
13,¸ðèªÈá,672547,2023020164724,83.9,93.8,84.8,61.2,93.8,86.1
14,±Ïæ¿,336087,2019060878747,83.5,79.8,66.6,90.8,88.0,92.3
15,²·º®,240250,2019050205015,83.2,81.9,70.6,80.8,94.2,88.7
16,Ðí·ÉÒÔ,478669,2019020466956,83.1,84.9,84.0,86.2,66.3,93.9
17,²ÜÁ«ÒË,447592,2020040899229,83.1,93.7,84.6,73.2,91.9,71.9
18,±«ÌÚ,145229,2019020832936,83.0,90.2,94.5,73.5,64.0,92.7
19,ÑÏºì,667341,2022051054114,82.9,94.7,89.1,86.3,83.0,61.3
20,ñ¼²ß,981971,2019061017173,82.8,53.1,89.7,93.5,94.3,83.3
21,Àî×ÓÓÀ,634735,2024030853528,82.7,76.9,83.9,91.5,93.6,67.4
22,¿°Ý¼Êç,311712,2018051061214,82.6,88.3,86.2,71.9,75.9,90.5
23,Ã÷ÓÀ¼Ò,439549,2019100404917,82.6,91.2,79.7,76.2,77.5,88.2
24,Ã«¹ú²Å,518823,2021041012356,82.5,65.8,94.3,84.2,76.3,91.7
25,ÀÉÄþ,076810,2018070601052,82.4,85.0,90.7,61.8,93.9,80.5
26,Æ¤Çí,997261,2023030846151,82.4,87.6,80.5,89.4,69.4,85.3
27,ÑÏ»ÝÓ±,893739,2023120853933,82.4,88.1,54.3,82.5,94.0,92.9
28,Ê©Äý,292185,2018020388571,82.3,73.6,61.6,90.2,94.9,91.2
29,Ê·Ã¯,391334,2019030683438,82.2,69.4,93.9,92.5,91.9,63.5
30,½ðÒã,651133,2020030353352,82.2,70.1,86.5,91.9,68.1,94.5
31,ÕÂ¾ýº®,278116,2018080681635,82.0,77.2,94.5,81.2,93.9,63.3
32,»ª¹ú¸Õ,386155,2023060275575,82.0,71.9,85.9,86.8,80.4,84.8
33,ÍõÆ½,815996,2024020069649,81.9,74.9,76.5,90.1,92.4,75.6
34,ÔÆÇÉÜ¿,445778,2024060647828,81.9,70.4,78.9,76.8,88.3,94.9
35,Ò¦Ô·Ñã,252001,2020020740143,81.8,72.5,88.6,82.8,77.1,88.2
36,×£Ê¢Ê÷,969116,2020060191645,81.7,84.5,87.2,85.6,88.6,62.6
37,Ôª¿¡Ë³,586191,2018020529140,81.6,79.1,88.6,90.7,78.4,71.3
38,»¨ÐÐ,710082,2022070788247,81.6,80.2,88.5,86.6,61.4,91.1
39,±´Çå³É,011539,2023050903922,81.5,57.9,85.7,77.2,93.9,92.9
40,ËÕ²Ê,663471,2019010637125,81.4,70.1,77.3,89.4,77.6,92.4
41,½ðÐÇ,183587,2021070658728,81.3,79.2,92.3,87.1,80.3,67.8
42,ÇØÄþ¶«,129375,2023050637522,81.3,76.4,69.7,90.2,90.9,79.4
43,ÆÝ¶¦,492206,2024120520672,81.2,56.9,93.6,88.9,75.0,91.6
44,ÂíÑÅÓ¢,859221,2022021212107,80.8,67.7,89.3,85.3,77.2,84.3
45,ÕÅÑ×Á¦,395826,2019020062652,80.7,92.6,74.2,90.2,87.3,59.1
46,ÇØÁú»Ô,213917,2022121101713,80.7,94.7,63.7,88.1,76.1,80.7
47,¸µ¹ã,761553,2024100835364,80.7,90.3,78.9,85.2,85.8,63.3
48,ÌÕ²Å,672740,2022070604043,80.6,69.9,90.1,64.4,89.2,89.4
49,ÎºÝ¼,088247,2023070534716,80.6,82.8,91.2,83.1,70.6,75.3
50,¸µÇÉ,550466,2019111226669,80.5,81.3,85.7,85.4,73.1,77.2
51,Ð»ÁúÃú,776527,2020010232764,80.5,69.9,91.6,84.9,71.2,84.8
52,Òóæ¯Ñþ,083641,2024050824140,80.4,87.8,45.8,80.9,92.7,94.8
53,ÓàÇ¿,346283,2022030208306,80.2,87.5,87.2,92.3,67.2,66.6
54,º«Ñ×,644947,2018041094738,80.1,82.6,80.3,75.4,73.2,88.8
55,Æ½äÞÓ½,595575,2022070437550,80.0,73.0,66.9,90.7,75.4,94.0
56,ê°ÐË¸Õ,377381,2023040278174,80.0,91.2,77.6,69.7,90.9,70.7
57,Ïôè¥ÇÙ,767516,2018110691604,79.9,76.0,90.9,70.4,72.4,89.8
