201805060224,root,1000,69.5,6
wyyzQ,i4oiL,XfCLX,OLxjr,hrbX2,RMqjl
69.1,69.9,69.7,69.5,69.9,69.3
1,ÈÎÇÙ,041908,2022080480835,88.2,79.3,94.2,86.7,84.1,91.0,93.7
2,ÎéÌ©,708126,2020070982662,85.7,83.1,79.4,89.5,86.2,85.9,89.9
3,ÔªÐÀçü,433349,2018081204934,85.3,89.8,93.1,89.5,88.3,89.0,62.3
4,ÁºÆ®,737541,2019051044139,83.5,73.0,89.4,78.6,85.8,81.1,92.9
5,ÎºÝ¼Ë¬,029350,2019080775039,83.5,72.1,83.8,79.1,93.3,80.3,92.4
6,²Üº£´ï,660232,2019010503219,83.2,81.7,82.7,78.1,87.4,87.5,82.1
7,Ç®´ä,849182,2024100948273,83.0,64.2,94.9,82.2,86.3,89.2,81.5
8,Ò¦Ñ§,637140,2019060614003,82.5,94.7,56.3,81.5,90.6,86.7,84.9
9,Íô¹Ú,742667,2018050106735,82.4,93.0,77.9,69.3,82.7,92.0,79.4
10,ÖÜè¥,075777,2020120637759,82.3,79.6,92.6,89.5,84.6,66.6,81.1
11,ÀÉÏ£Äý,072293,2023020209327,82.3,93.8,87.6,60.4,94.5,66.9,90.4
12,ÌÀÈ«,742044,2022040904403,82.0,89.4,90.9,82.4,77.8,65.4,86.1
13,ÎºÇÙÜ°,485129,2022101142914,82.0,89.2,88.1,69.8,65.7,93.7,85.8
14,Âí¹ð,072388,2018010638868,81.9,93.9,85.8,70.7,83.7,88.1,69.4
15,ÎºÃúÀû,662858,2020010395802,81.8,90.0,85.9,81.0,68.3,81.7,84.1
16,ÞÉ¸»È«,937832,2019070383228,81.5,75.6,91.4,86.3,78.6,65.2,91.9
17,Îº¿¡¶¦,368163,2022020436337,81.4,92.2,75.6,82.9,94.7,54.0,88.7
18,¿×Èï,179484,2022040908454,81.4,66.6,54.7,95.0,91.3,87.7,93.3
19,ÓíË¼,860957,2022120535731,81.4,92.3,49.4,89.3,76.2,92.3,88.8
20,ÒüÖ¦,077698,2023050169844,81.4,87.8,83.4,69.0,59.0,94.9,94.1
21,ËïÃ¼,396630,2020010053065,81.2,78.4,79.0,70.9,91.5,84.1,83.4
22,Òó¹ã,579243,2020010684312,81.2,87.8,87.5,85.1,90.3,80.2,56.1
23,Ëïº®ÁÕ,705936,2024031243652,81.2,83.0,62.3,86.3,84.3,77.5,94.1
24,·üö°Ñã,498445,2024070774551,81.1,70.1,93.0,82.0,60.6,89.5,91.4
25,ê°È«,250234,2024110623415,81.1,83.3,87.8,88.7,67.9,88.0,71.1
26,»¨½à,012427,2020040842739,81.0,90.1,88.4,94.0,64.4,94.9,54.0
