2018050290844,root,1000,70.2,8
SP3oV,JevRP,Q6yjo,eBVI2,5Zwzp,Q0d5c,mwH0B,o8JHT
69.9,70.8,70.9,69.6,69.7,69.9,70.5,70.6
1,Ëï¾üÐÂ,467663,2019070126364,85.1,80.5,83.3,89.8,74.7,92.5,94.4,79.9,85.8
2,²·Æ½,893397,2022111239726,84.2,84.6,69.8,78.1,93.0,93.0,90.5,83.5,80.7
3,×£ÊÀ,874703,2024010050373,84.1,93.4,82.5,90.2,64.6,86.0,92.9,91.3,72.3
4,Ã÷Êç,758748,2018040394856,83.4,79.8,93.5,92.7,85.3,83.9,83.2,71.2,77.9
5,Ç®¼Ò½¨,039699,2020070329914,83.1,88.4,81.1,92.4,80.4,92.0,89.2,89.4,51.7
6,ÇØÑ§Ãú,803212,2024010761275,83.1,74.2,92.5,70.2,87.9,70.9,92.3,84.2,92.7
7,ÌÀÈ«,742044,2022040904403,83.0,92.5,94.2,87.2,80.7,57.9,74.6,89.7,87.3
8,±´¶¦¶¦,542454,2019091055444,82.6,74.9,85.9,60.5,87.1,94.8,90.9,94.5,72.3
9,°²æÃÏ¼,756145,2022010784519,82.2,86.9,87.7,53.9,93.9,93.4,87.9,89.6,64.5
10,·¶³É½¨,267794,2021021039474,82.1,88.4,78.2,92.2,85.7,91.5,70.5,57.2,92.9
11,¿°´º,186904,2018090410447,82.0,79.2,67.2,93.5,92.1,88.3,86.5,67.3,82.0
12,Æ½ÐÂÇ¿,828818,2022110501868,81.9,93.5,88.4,87.2,82.0,74.8,86.1,82.4,60.6
13,ÐÜ´¿,641001,2023020190172,81.7,68.3,88.4,84.2,54.0,93.4,78.1,93.8,93.7
14,ÂÞö°,361402,2024031250235,81.7,90.0,78.5,65.2,94.2,69.3,82.2,93.4,80.9
15,¿×Èðæ¿,481575,2023011257501,81.6,93.6,87.5,87.0,83.3,56.6,80.2,76.0,88.3
16,¼ÆµÂ,841012,2020060901202,81.5,93.9,56.6,91.1,81.9,60.6,90.0,94.4,83.1
17,¸ð·ïèµ,105183,2021080738324,81.2,64.6,80.9,79.9,64.7,92.6,87.4,93.1,86.0
18,Ç®åûÓ±,553004,2022080390474,81.2,84.3,70.6,93.5,71.3,74.4,91.3,85.4,78.9
19,ÀÖ½õ,344239,2024060863964,81.2,75.1,91.2,70.6,93.1,62.3,82.7,90.1,84.1
20,Àîæý½õ,015088,2020071088821,81.1,62.7,94.9,94.3,61.9,93.9,94.8,61.7,84.3
21,±«ÑþÖé,771252,2024010725262,81.1,74.0,87.1,55.5,84.7,81.2,90.5,93.5,82.1
22,¸µÃúÒå,255797,2024120429701,81.0,90.2,90.0,84.7,61.7,71.1,86.0,74.0,90.7
23,Îº¾ü,450732,2024070743205,80.5,94.8,87.4,71.2,78.8,80.5,75.8,63.8,91.9
24,Ö£Ö¥,575768,2019031236806,80.4,81.9,89.3,77.6,74.4,77.3,76.2,76.9,89.3
25,ºØÓÀ¾û,007256,2022110885669,80.4,77.4,87.8,64.1,82.3,84.2,83.0,92.4,72.1
26,Ô¬ºëÈÊ,240850,2023110115018,80.3,70.5,90.2,75.8,71.6,72.5,86.2,84.7,91.0
27,ñ¼Ó½¼§,773437,2019081193718,80.2,75.9,81.1,52.1,91.3,90.9,79.3,78.6,92.6
28,ÔªÔ·ËØ,800597,2019100959715,80.2,58.3,89.6,74.4,84.2,72.3,83.9,89.4,89.7
29,Ð»¼§,742463,2020111176341,80.2,57.0,94.3,63.1,77.2,87.1,93.9,89.3,79.7
30,Ñ¦á°ÑÇ,904910,2020120261025,80.2,90.1,78.5,57.0,92.4,68.4,86.2,78.8,89.9
31,ëøÁ¼,542591,2021070509126,80.2,77.9,73.6,79.3,94.4,78.7,90.9,79.4,67.2
32,¼ÍÖ¦,841992,2022010179260,80.2,71.5,91.2,93.5,74.4,93.0,91.8,57.4,68.6
33,±Ï¸£,252631,2021041073109,80.1,89.9,91.1,77.3,73.5,75.8,59.9,90.0,83.3
34,¿×Óð,922551,2023060755115,80.1,84.8,52.4,77.4,94.3,83.6,85.3,85.8,77.1
