2020080181008,root,1000,69.7,2
Pz1Mq,fgSKI
69.7,69.8
1,郎馥,946552,2020080695226,92.7,93.1,92.3
2,陶树福,711401,2022020760169,92.7,92.1,93.2
3,水丽,969088,2022031198822,92.2,89.6,94.8
4,章建,160497,2023020869711,92.0,93.7,90.2
5,方伟,342923,2018111172306,91.5,93.3,89.7
6,秦元德,750853,2022010585320,91.4,90.5,92.3
7,云薇,300699,2022010199969,91.2,93.2,89.3
8,朱岩富,976830,2018070093068,90.8,93.2,88.3
9,花行,710082,2022070788247,90.6,88.7,92.5
10,何平,103245,2022060634563,90.3,93.5,87.2
11,殷姣瑶,083641,2024050824140,90.3,92.8,87.9
12,尤芬,036692,2018051009270,90.2,89.3,91.0
13,和成,546777,2022090187705,90.0,86.9,93.1
14,项宁国,718692,2023010259230,89.9,94.2,85.6
15,时山安,692610,2021020931005,89.8,89.9,89.7
16,喻琰慧,406895,2020061229569,89.7,94.1,85.2
17,范洁蓓,711478,2023120357802,89.7,92.7,86.6
18,苏彩,663471,2019010637125,89.6,89.8,89.4
19,计峰,347768,2019040046847,89.6,90.3,88.9
20,乐家,534022,2019040342250,89.3,93.8,84.9
21,薛建,310995,2019110759545,89.2,84.9,93.4
22,邹芸,911102,2020011020274,89.2,84.1,94.4
23,汤冠,045434,2024111073401,89.2,83.6,94.9
24,和英,333711,2018110841121,89.1,88.1,90.1
25,金铭,098254,2021010385424,89.0,92.4,85.5
26,任东,623978,2021110567857,88.9,85.7,92.1
27,史黛,178839,2020110243971,88.8,94.5,83.2
28,于永,568124,2021100772439,88.8,90.2,87.4
29,岑祥利,856063,2022010336349,88.7,88.5,88.9
30,贝刚树,712979,2019031227934,88.5,88.8,88.3
31,昌薇,318557,2021120955745,88.5,82.6,94.4
32,祁祥胜,867289,2020031178939,88.3,82.3,94.3
33,郎楠,125787,2018050088737,88.2,90.0,86.5
34,郎榕,122489,2020010648914,88.2,87.0,89.5
35,苏芝,793346,2021040914650,88.2,93.1,83.4
36,花锦,913592,2022091079204,88.2,91.9,84.6
37,贝清成,011539,2023050903922,88.2,93.6,82.8
38,尤泰,850996,2018080879618,88.1,90.2,85.9
39,尹广,197949,2020090604929,88.1,87.6,88.6
40,平瑾环,434368,2020050236867,88.0,93.9,82.1
41,贺泰安,606822,2024040382220,88.0,87.3,88.7
42,吴健明,892281,2020020678101,87.9,80.8,95.0
43,方中,390352,2019040195213,87.8,80.8,94.9
44,臧龙,228431,2020030323155,87.7,86.1,89.3
45,华纯娜,015184,2024070408448,87.7,80.5,94.8
46,韦璐,224389,2024090328970,87.7,93.6,81.8
47,姚瑶,549497,2019070459772,87.5,85.2,89.8
48,梁可锦,068839,2020110703925,87.3,89.6,85.1
49,苗佳芬,595086,2021040328627,87.2,87.7,86.6
50,乐勇德,551175,2021040917559,87.2,85.2,89.2
51,倪广,096907,2022070590744,87.1,92.7,81.4
52,熊思枝,285118,2021051021853,87.0,89.3,84.7
53,褚舒,584520,2022120662052,86.9,83.9,89.9
54,方志,148840,2024110974051,86.6,89.4,83.7
55,章君寒,278116,2018080681635,86.2,94.3,78.0
56,狄天,673926,2018101052646,86.2,85.5,87.0
57,费毅刚,358349,2018110104950,86.2,88.1,84.2
58,周国,718538,2020070423847,86.2,86.5,85.8
59,袁娟淑,476884,2021030778415,86.2,85.7,86.6
60,项霄琴,581045,2023060184574,86.2,86.8,85.5
61,蒋强,780688,2019010738819,86.0,80.2,91.7
62,唐中风,420637,2021101113711,86.0,92.2,79.8
63,宋雄武,940609,2018091110923,85.8,79.3,92.2
64,雷梅,818530,2020031183013,85.8,94.3,77.4
65,臧楠,091049,2018031044932,85.5,87.2,83.7
66,蒋鼎,540068,2020020626812,85.5,90.5,80.6
67,孟新,206063,2020110246373,85.5,86.2,84.8
68,平策,981581,2021110028170,85.5,88.4,82.6
69,齐学,371093,2018020509344,85.4,85.3,85.6
70,金黛莉,547140,2022081154064,85.3,86.8,83.9
71,柏芳香,922222,2019100982275,85.2,80.1,90.3
72,成亚芬,660270,2021010397027,85.2,77.5,92.8
73,殷达,281009,2022090080967,85.2,95.0,75.4
74,周信,179900,2022050600034,85.1,85.0,85.2
75,郎菊,978800,2022060930042,85.0,80.3,89.7
76,凤清,429661,2019040616103,84.8,88.9,80.8
77,戴叶,306180,2023080098036,84.8,77.6,91.9
78,吴惠,360438,2019051203801,84.7,85.4,84.0
79,乐星飞,475182,2019070318217,84.7,81.5,87.8
80,卫榕茂,235672,2022010767218,84.7,76.9,92.4
81,萧顺生,283204,2023090490456,84.7,86.2,83.2
82,孟辉,410144,2019100434440,84.6,81.6,87.6
83,安彩,159791,2021020049146,84.6,89.9,79.3
84,熊瑾,384371,2023060897141,84.6,84.6,84.6
85,马园,323621,2018070352133,84.5,76.7,92.3
86,汪舒,427713,2022080631357,84.5,82.6,86.5
87,戴树,766500,2019050610007,84.4,90.0,78.8
88,薛时钧,281415,2023070481556,84.4,80.8,88.1
89,水贵元,987274,2019071037426,84.3,90.2,78.5
90,倪力雄,281826,2020010322616,84.3,90.5,78.2
91,穆才航,524260,2022091096042,84.3,82.5,86.1
92,安勇,938561,2024030726159,84.3,90.5,78.2
93,殷家东,406845,2021091244566,84.2,76.6,91.9
94,李岚,888946,2021070814634,84.1,90.0,78.2
95,沈琬惠,756147,2020030984741,84.0,81.6,86.5
96,吴枝娜,020286,2023030118651,83.8,89.0,78.6
97,伏聪静,678336,2023110673640,83.8,77.9,89.7
98,顾荷瑞,303314,2023070751417,83.7,87.9,79.5
99,曹茂,175773,2021051247352,83.6,81.6,85.6
100,米杰,371237,2021040303741,83.5,80.5,86.4
101,潘雁,936494,2022091119461,83.5,82.1,85.0
102,袁钧,357790,2024051209047,83.5,78.0,88.9
103,明文伟,454186,2019090728602,83.4,89.8,77.0
104,谢育娅,629837,2024040143767,83.4,77.1,89.8
105,卫杰,455895,2024070259519,83.3,84.7,82.0
106,皮瑶,701816,2019100491647,83.2,93.8,72.5
107,华枫,429917,2022071231734,83.1,79.9,86.3
108,任纨聪,982629,2023071042927,83.1,73.4,92.8
109,郑爱柔,202485,2021031168553,83.0,76.0,90.1
110,倪良,592400,2024040360051,83.0,94.8,71.3
111,熊枝真,758189,2019010248925,82.9,73.0,92.8
112,冯环,694209,2020081060975,82.7,89.8,75.5
113,凤杰,026742,2018020964234,82.5,77.9,87.0
114,潘家,241905,2021120650553,82.5,78.1,87.0
115,袁杰,051549,2023020934921,82.5,80.2,84.7
116,穆龙军,290506,2018031080632,82.3,83.8,80.9
117,许子士,548121,2018030212173,82.2,74.8,89.5
118,云东永,618408,2019100170821,82.2,84.9,79.6
119,孟海海,044804,2019040410428,82.1,86.3,77.9
120,孔军,949147,2020020994755,82.1,77.2,86.9
121,喻俊,676290,2022040599013,82.1,77.3,86.9
122,孙祥勇,424524,2018100592419,82.0,83.1,81.0
123,葛瑾柔,672547,2023020164724,82.0,72.3,91.8
124,李永,612443,2022090574316,81.9,87.5,76.3
125,魏荔,346889,2019020778947,81.8,70.5,93.1
126,鲍珠咏,761312,2022100891204,81.8,69.0,94.6
127,成琳,366617,2023110431712,81.8,68.7,94.9
128,卫婷,614390,2024010449046,81.8,71.0,92.5
129,廉晶,078685,2024040408569,81.8,81.2,82.3
130,奚星辉,838478,2024040647870,81.7,77.3,86.1
131,元俊顺,586191,2018020529140,81.6,87.3,75.9
132,袁杰,905818,2024050551823,81.6,91.2,71.9
133,纪国,700015,2019061251573,81.5,87.2,75.8
134,禹伟发,603662,2021090456241,81.4,81.8,81.1
135,苗明,785419,2023090861959,81.4,82.8,80.1
136,汪莺,588800,2024090560016,81.4,80.7,82.1
137,屈莲莺,819006,2018110020617,81.3,71.8,90.8
138,顾黛,401050,2019091055027,81.3,83.8,78.8
139,卜全刚,448357,2020030535719,81.3,91.5,71.1
140,严策世,568489,2020081208969,81.3,81.6,81.1
141,狄霄,478515,2023030381553,81.3,78.3,84.4
142,舒辉,385461,2024050896107,81.3,93.2,69.5
143,奚辉钧,703792,2019071099248,81.2,80.4,82.0
144,苗时,286375,2022040347570,81.2,77.2,85.1
145,奚航信,743285,2022041158551,81.1,67.9,94.3
146,毕钧茂,352849,2023071094973,81.1,84.7,77.4
147,苏永,508955,2020120365536,81.0,77.8,84.3
148,伏永信,421763,2023120166340,81.0,73.5,88.4
149,姚眉爱,922281,2018120428132,80.9,77.8,84.1
150,袁志,576985,2019070548529,80.8,87.9,73.6
151,伏时贵,275642,2019080394208,80.8,67.5,94.0
152,陈美,299980,2019090328064,80.8,86.8,74.8
153,余胜武,412926,2020010542671,80.8,68.2,93.4
154,华山,477184,2020090198434,80.8,79.2,82.5
155,平淑,746803,2022110500320,80.8,79.8,81.9
156,秦子,494436,2018050593639,80.7,90.9,70.4
157,魏海,865032,2023010663229,80.7,74.4,87.0
158,冯竹,212384,2021010948436,80.6,85.2,75.9
159,元贞眉,760856,2021061035626,80.6,78.7,82.4
160,奚翠,686960,2023120766019,80.6,79.1,82.1
161,柏胜,422865,2024081256508,80.6,78.4,82.8
162,昌婷婉,644527,2019010832710,80.5,88.1,72.9
163,项顺,977908,2023100560864,80.5,73.7,87.2
164,鲁琛,634482,2023120718236,80.5,92.2,68.7
165,计山炎,261199,2024090729935,80.5,71.9,89.1
166,殷永,681582,2021011208216,80.4,92.6,68.3
167,雷雄福,007355,2018120955533,80.3,74.2,86.5
168,董欣云,366841,2021111254125,80.3,79.4,81.3
169,邹信以,767648,2024090864865,80.3,92.1,68.6
170,毕明,870002,2024110800209,80.3,94.9,65.7
171,郎苑舒,959970,2019060427061,80.2,75.7,84.6
172,计希凡,970793,2020010159360,80.2,91.3,69.0
173,华以发,671388,2020080388807,80.2,90.1,70.4
174,范融,598573,2020080657341,80.2,76.3,84.2
175,姜瑾,167289,2021020218911,80.2,83.0,77.4
176,伍梅凡,048222,2021031182263,80.2,66.9,93.4
